Time,cX001,cX002,cX003,cX004,cX005,cX006,cX007,cX008,cX009,cX010,cX011,cX012,cX013,cX014,cX015,cX016,cX017,cX018,cX019,cX020
1283.495,0.22,,,,,,0.1,-0.14,,0.06,0.39,-0.48,,,,,0.15,,,0.14
1283.53,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.15,,,0.14
1283.565,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.15,,,0.14
1283.6,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.15,,,0.14
1283.635,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.14,,,0.15
1283.67,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.14,,,0.14
1283.705,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.14,,,0.14
1283.74,0.22,,,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,0.13,,,0.14
1283.775,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.13,,,0.14
1283.81,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.13,,,0.14
1283.845,0.22,,-0.34,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.12,,,0.15
1283.88,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.11,,,0.14
1283.915,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.11,,,0.14
1283.95,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.11,,,0.14
1283.985,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.1,,,0.15
1284.02,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.1,,,0.15
1284.055,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.08,,,0.15
1284.09,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.05,,,0.14
1284.125,0.22,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.04,,,0.15
1284.16,0.22,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.04,,,0.15
1284.195,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.02,,,0.14
1284.23,0.22,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1284.265,0.22,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1284.3,0.22,,0.11,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.01,,,0.15
1284.335,0.22,,0.11,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.01,,,0.15
1284.37,0.22,,0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.02,,,0.14
1284.405,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.02,,,0.15
1284.44,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.04,,,0.14
1284.475,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.04,,,0.14
1284.51,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.05,,,0.15
1284.545,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.08,,,0.15
1284.58,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.08,,,0.15
1284.615,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,-0.1,,,0.14
1284.65,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.12,,,0.14
1284.685,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.12,,,0.14
1284.72,0.23,,,,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,-0.14,,,0.14
1284.755,0.22,,0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.14,,,0.14
1284.79,0.22,,0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.14,,,0.14
1284.825,0.22,,0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.15,,,0.14
1284.86,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.15,,,0.14
1284.895,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.15,,,0.14
1284.93,0.22,,,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.16,,,0.14
1284.965,0.22,,-0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.17,,,0.14
1285.0,0.22,,-0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.17,,,0.14
1285.035,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.2,,,0.14
1285.071,0.22,,0.33,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.21,,,0.15
1285.106,0.22,,0.33,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.21,,,0.15
